Year_of_Study,Previous_GPA,Attendance_Percentage,CAT_1_Score,CAT_2_Score,Assignment_Score,Total_Internal_Marks,At_Risk
2,3.77,98,2,11,8,21,0
1,3.55,69,5,15,1,21,0
3,3.72,58,11,15,4,30,0
3,2.0,54,12,3,9,24,0
3,2.21,72,7,7,5,19,0
2,2.22,82,7,14,10,31,0
2,2.44,87,11,4,6,21,0
4,2.48,63,7,15,3,25,0
3,2.86,66,6,3,5,14,1
1,1.9,68,4,7,1,12,1
2,3.23,82,3,5,8,16,0
3,1.92,50,4,6,6,16,1
3,2.28,62,10,6,2,18,0
2,2.76,95,4,4,4,12,1
4,3.49,76,4,13,4,21,0
2,3.35,55,2,5,9,16,0
2,3.11,55,3,4,9,16,1
1,1.89,82,12,8,5,25,0
1,2.87,79,13,2,3,18,0
4,1.72,95,4,7,1,12,1
3,2.44,84,3,5,6,14,1
2,2.53,72,9,2,8,19,0
4,1.6,59,7,2,1,10,1
1,2.18,68,8,6,1,15,1
2,3.89,77,2,15,7,24,0
3,3.88,72,7,6,7,20,1
1,2.38,53,3,11,2,16,1
1,1.61,69,14,8,3,25,0
1,1.95,68,7,14,2,23,0
4,2.48,91,4,13,6,23,0
3,3.87,76,8,5,8,21,1
2,1.85,83,4,15,8,27,0
4,3.41,53,10,10,1,21,0
4,1.77,87,4,5,9,18,1
4,3.95,56,8,8,8,24,0
1,2.45,97,13,6,9,28,0
3,3.44,56,5,6,9,20,1
4,2.36,99,9,7,6,22,0
2,3.07,75,15,9,3,27,0
3,1.98,75,3,6,1,10,1
2,1.87,68,9,4,8,21,0
3,3.85,58,10,7,10,27,0
2,3.79,69,14,15,3,32,0
1,3.72,91,9,13,7,29,0
4,3.06,94,7,15,10,32,0
2,3.52,99,11,3,6,20,0
3,1.67,65,2,13,3,18,0
4,2.34,66,8,13,6,27,0
4,2.28,71,2,9,3,14,1
3,3.09,62,8,9,9,26,0
2,2.39,61,15,4,1,20,0
1,1.87,59,3,13,8,24,0
1,2.99,50,9,9,5,23,0
2,3.54,81,3,10,4,17,0
4,2.46,79,4,6,1,11,1
4,1.83,57,14,6,9,29,0
4,1.99,70,13,7,9,29,0
4,2.09,71,4,8,5,17,1
2,2.25,67,2,4,9,15,1
4,3.11,51,6,6,10,22,0
3,3.0,97,6,2,9,17,0
4,3.24,93,11,12,7,30,0
1,2.41,58,6,11,8,25,0
4,3.56,52,15,6,1,22,0
2,2.01,75,14,5,4,23,0
1,2.67,70,10,2,10,22,0
2,3.5,79,7,8,10,25,0
2,1.95,77,7,2,4,13,1
1,1.77,85,4,14,9,27,0
2,3.71,75,6,9,3,18,0
2,2.36,83,11,15,10,36,0
4,3.21,57,8,11,10,29,0
3,1.56,59,4,13,1,18,0
2,3.23,97,3,3,5,11,1
2,2.29,92,6,11,7,24,0
2,1.64,99,4,14,4,22,1
4,3.02,63,6,13,9,28,0
3,2.1,89,10,6,6,22,0
1,2.47,64,12,14,6,32,0
4,1.7,66,11,7,3,21,0
4,1.87,67,2,10,10,22,0
3,2.24,81,5,15,10,30,0
3,1.72,87,11,8,5,24,0
4,3.78,72,6,7,10,23,0
1,1.52,95,3,6,6,15,1
4,2.71,72,13,7,4,24,0
3,1.81,84,3,15,3,21,0
1,2.27,88,2,12,5,19,0
3,3.82,64,15,5,7,27,0
1,1.9,73,9,2,6,17,0
2,3.91,77,3,13,2,18,1
3,2.01,65,4,10,1,15,1
3,3.35,65,13,12,5,30,0
4,2.87,89,3,6,5,14,1
3,3.71,88,5,9,6,20,0
3,2.88,55,15,8,3,26,0
2,2.84,51,2,9,1,12,1
3,1.99,62,4,2,4,10,1
2,1.92,93,6,10,4,20,0
2,3.79,96,11,2,10,23,0
2,2.32,58,2,4,2,8,1
2,2.43,83,5,9,8,22,0
1,3.4,66,7,13,6,26,0
4,2.35,76,5,12,3,20,0
1,3.88,78,8,2,1,11,1
3,3.34,86,15,15,3,33,0
1,2.99,92,8,2,8,18,0
1,3.7,71,7,7,4,18,0
3,1.62,73,10,6,3,19,0
3,2.14,56,3,12,4,19,0
3,2.66,83,14,7,4,25,0
1,2.07,97,11,4,2,17,1
1,3.36,61,9,11,4,24,0
3,3.8,72,9,13,9,31,0
4,2.56,64,12,11,4,27,0
4,2.36,82,11,7,1,19,0
2,3.9,62,15,3,1,19,1
3,2.61,72,15,9,1,25,0
2,2.72,87,12,13,5,30,0
4,2.38,81,5,7,6,18,1
2,3.77,94,7,14,6,27,0
3,2.92,99,12,14,6,32,0
3,3.41,84,7,5,9,21,0
3,3.53,50,6,5,1,12,1
1,2.35,96,15,15,10,40,0
2,2.58,94,2,12,6,20,0
4,3.62,54,4,8,8,20,0
4,2.41,62,8,15,8,31,0
4,3.48,54,9,4,3,16,1
1,3.85,81,3,12,5,20,0
1,3.06,70,4,4,10,18,0
3,3.35,73,5,7,4,16,1
4,3.51,67,15,10,1,26,0
1,3.61,70,12,2,9,23,0
3,2.49,59,6,6,5,17,1
4,1.63,73,4,2,2,8,1
2,2.5,89,6,2,2,10,1
3,3.18,96,9,4,7,20,0
1,2.63,70,9,4,4,17,1
1,3.37,74,15,5,1,21,0
3,2.39,72,3,4,5,12,1
3,3.09,71,7,7,2,16,1
1,1.97,53,5,13,7,25,0
2,3.37,83,10,5,9,24,0
4,2.86,55,11,9,1,21,0
2,2.01,77,3,2,2,7,1
3,2.23,80,9,9,6,24,0
2,3.37,84,2,12,8,22,0
1,2.71,88,12,2,7,21,0
3,2.04,91,7,12,9,28,0
4,3.92,72,12,2,2,16,1
1,3.29,55,12,8,9,29,0
1,3.89,65,15,2,4,21,0
4,2.57,51,13,10,3,26,0
4,2.69,73,11,15,7,33,0
2,3.74,66,14,9,5,28,0
3,2.81,94,2,14,5,21,0
4,3.27,50,3,2,2,7,1
4,2.13,55,4,3,6,13,1
3,2.62,54,10,3,6,19,0
4,1.81,94,6,3,4,13,1
4,2.01,99,11,7,5,23,0
2,1.5,78,11,5,7,23,0
1,1.6,61,13,9,8,30,0
1,3.94,88,3,2,6,11,1
1,2.11,96,11,11,5,27,0
1,3.16,52,6,15,3,24,0
4,3.6,97,6,5,7,18,1
3,2.88,50,2,11,8,21,0
3,1.88,76,4,12,3,19,0
2,3.32,97,6,6,5,17,0
2,3.0,73,10,10,2,22,0
4,3.33,93,11,6,10,27,0
3,3.42,68,2,14,10,26,0
3,3.94,57,9,12,4,25,0
1,2.93,93,2,4,4,10,1
4,2.35,96,10,12,8,30,0
4,3.12,51,7,5,3,15,1
1,1.67,79,2,11,5,18,1
4,3.74,79,9,8,5,22,0
4,1.8,98,6,2,2,10,1
2,2.32,88,8,12,9,29,0
3,3.54,94,8,7,4,19,0
4,2.99,81,8,9,9,26,0
2,2.48,50,7,2,9,18,1
3,2.68,87,12,9,2,23,0
1,3.64,62,9,8,9,26,0
2,2.35,60,10,2,9,21,0
2,3.67,59,13,10,2,25,0
3,1.72,97,3,12,6,21,0
1,3.44,75,8,4,9,21,0
2,3.62,69,3,3,4,10,1
4,1.95,66,7,8,2,17,1
4,2.58,66,3,12,7,22,0
4,1.91,53,11,4,9,24,0
1,3.27,54,7,2,6,15,1
2,2.84,72,3,11,4,18,1
4,3.09,95,2,14,1,17,0
1,1.99,59,8,4,4,16,1
4,2.03,95,4,7,3,14,1
3,1.6,77,15,4,7,26,0
2,2.31,82,13,6,10,29,0
2,2.9,92,15,10,5,30,0
1,3.64,75,14,8,3,25,0
1,3.17,99,5,3,2,10,1
2,2.59,97,14,2,2,18,0
4,3.88,78,7,8,5,20,0
4,3.3,76,6,5,8,19,0
3,3.83,67,5,12,8,25,0
4,2.82,89,10,8,5,23,0
1,2.15,59,7,7,2,16,1
1,1.63,91,7,8,4,19,0
4,3.32,54,3,5,7,15,1
1,1.8,59,7,4,6,17,1
2,2.26,99,8,13,10,31,0
2,2.83,70,9,6,7,22,0
4,2.91,73,15,4,5,24,0
2,3.0,87,9,15,2,26,0
2,1.92,52,10,4,8,22,0
3,2.45,89,11,5,2,18,1
3,3.04,80,12,9,8,29,0
2,3.92,90,14,3,7,24,0
4,3.32,86,13,5,3,21,0
3,3.81,51,4,12,4,20,1
1,3.41,51,11,4,7,22,0
1,2.98,88,8,8,4,20,0
1,1.98,98,8,3,9,20,0
4,3.17,91,2,2,7,11,1
2,3.06,93,9,11,1,21,0
1,3.01,83,5,2,1,8,1
4,2.72,91,6,7,4,17,0
3,2.82,69,15,4,9,28,0
2,2.34,82,7,8,4,19,1
3,2.8,53,4,9,5,18,0
4,1.99,94,6,6,1,13,1
1,3.51,93,11,6,2,19,0
1,1.96,60,6,13,4,23,0
4,1.71,91,2,3,4,9,1
1,2.59,96,4,9,10,23,0
2,3.15,54,4,11,6,21,0
4,2.59,74,2,14,6,22,0
3,2.19,98,14,2,8,24,0
4,2.9,86,8,11,9,28,0
2,2.37,83,2,10,1,13,1
2,3.83,58,8,2,1,11,1
4,3.81,55,5,2,6,13,1
4,2.76,67,10,2,4,16,1
1,2.32,63,8,8,4,20,0
2,3.34,68,6,5,1,12,1
4,1.59,63,8,13,9,30,0
4,2.69,89,10,8,3,21,1
2,2.34,66,11,6,5,22,0
4,3.8,84,7,13,10,30,0
1,1.53,78,2,15,1,18,0
2,2.88,91,7,8,8,23,0
1,3.35,66,2,11,3,16,1
1,2.71,92,14,15,1,30,0
1,1.71,57,13,8,10,31,0
1,3.93,50,5,5,6,16,0
2,2.8,94,15,3,1,19,0
1,3.04,85,9,9,3,21,0
1,2.09,56,6,3,5,14,1
4,2.71,95,6,10,4,20,0
2,2.57,54,14,6,7,27,0
2,1.69,73,11,10,6,27,0
3,1.77,77,12,10,3,25,0
2,3.59,92,9,15,8,32,0
2,2.1,66,9,9,8,26,0
3,1.99,86,2,9,2,13,1
2,2.76,69,14,5,7,26,0
2,3.42,52,14,15,1,30,0
2,1.65,86,6,5,2,13,1
2,2.94,75,13,15,8,36,0
3,1.8,64,6,3,1,10,1
2,1.59,97,9,5,2,16,1
2,1.63,57,2,5,1,8,1
3,3.59,62,8,7,5,20,0
4,1.79,97,8,4,7,19,1
1,1.61,52,14,3,6,23,0
4,2.59,50,10,9,6,25,0
3,3.61,58,3,3,6,12,1
1,2.16,80,4,9,8,21,0
3,2.55,90,5,8,5,18,0
3,1.6,75,2,4,10,16,1
2,2.62,66,8,7,7,22,0
1,2.94,83,15,7,3,25,0
2,2.93,58,11,11,9,31,0
1,2.33,62,4,15,10,29,0
3,2.29,54,4,6,3,13,1
3,1.77,90,4,14,6,24,0
4,2.42,62,9,9,3,21,0
1,1.75,50,10,12,1,23,0
2,3.42,74,11,13,1,25,0
4,3.92,96,14,6,3,23,0
4,3.93,53,15,8,4,27,0
4,3.66,85,3,7,2,12,1
2,3.0,59,11,12,9,32,0
4,3.25,77,11,8,8,27,0
2,2.21,55,2,14,3,19,0
4,3.08,76,15,10,7,32,0
2,2.64,61,10,4,4,18,1
3,2.71,97,7,11,5,23,0
3,3.39,52,15,8,4,27,0
3,2.2,95,10,14,9,33,0
3,2.3,82,7,11,7,25,0
3,3.81,59,3,4,4,11,1
4,1.64,80,2,14,8,24,0
4,2.71,64,15,3,2,20,0
4,3.78,56,9,13,7,29,0
2,3.03,85,4,8,1,13,1
2,2.87,63,2,5,8,15,1
2,2.12,97,9,2,6,17,0
2,2.36,63,13,7,5,25,0
3,3.63,52,2,12,9,23,0
3,2.9,98,9,7,9,25,0
3,2.79,95,2,7,3,12,1
1,1.75,99,10,3,9,22,0
4,1.54,52,15,2,9,26,0
2,3.91,71,10,4,2,16,1
2,2.44,68,13,13,5,31,0
3,3.01,84,14,15,2,31,0
2,1.7,61,10,3,1,14,1
2,3.21,54,4,7,7,18,0
4,3.83,59,5,14,4,23,0
3,2.94,90,6,13,5,24,0
4,1.82,82,7,7,4,18,1
1,2.95,62,10,14,6,30,0
1,3.42,84,14,6,2,22,0
1,2.52,81,12,11,8,31,0
3,3.7,60,13,11,4,28,0
2,3.12,97,5,6,8,19,0
3,3.75,87,15,10,3,28,0
3,3.06,73,15,15,5,35,0
2,1.83,84,7,6,3,16,1
4,2.27,68,14,14,7,35,0
1,2.0,55,2,11,3,16,1
4,3.77,89,3,7,8,18,0
1,3.4,94,9,12,9,30,0
3,3.19,93,5,5,2,12,1
1,2.25,91,11,11,3,25,0
3,1.96,84,8,15,7,30,0
4,3.39,53,5,15,5,25,0
3,2.69,82,15,2,10,27,0
4,2.06,62,10,5,7,22,0
2,3.04,85,10,3,2,15,1
2,1.6,92,5,11,4,20,0
2,2.32,68,14,4,1,19,0
3,2.67,92,9,8,5,22,0
2,1.87,61,7,8,8,23,0
1,3.96,60,2,2,1,5,1
4,2.02,55,8,9,7,24,0
4,1.83,61,2,8,7,17,1
1,2.01,76,4,2,7,13,1
3,3.42,90,9,9,1,19,0
3,2.56,74,10,15,3,28,0
4,2.91,91,4,15,2,21,0
2,1.55,52,2,3,5,10,1
3,1.59,52,2,9,2,13,1
3,2.61,69,8,4,5,17,1
1,3.54,77,6,11,5,22,0
1,3.71,72,14,8,4,26,0
2,1.72,97,15,14,7,36,0
3,2.85,52,2,7,10,19,0
3,3.78,91,7,6,6,19,0
1,2.47,73,15,12,2,29,0
3,3.57,92,7,11,4,22,0
4,1.83,89,15,15,7,37,0
1,3.84,55,5,12,9,26,0
2,3.38,69,8,3,9,20,0
1,3.85,60,8,3,3,14,1
3,3.19,81,13,14,1,28,0
2,2.41,76,10,13,9,32,0
1,3.85,70,13,2,8,23,0
4,2.19,93,2,15,7,24,0
4,2.33,97,6,10,6,22,0
1,3.25,99,11,12,10,33,0
4,3.41,62,4,9,7,20,0
4,3.82,71,8,9,9,26,0
4,2.01,84,5,2,6,13,1
2,3.49,96,5,6,10,21,0
4,3.35,71,14,13,3,30,0
4,1.66,77,13,7,3,23,0
4,2.47,70,2,3,4,9,1
2,2.21,95,2,11,10,23,0
1,2.26,67,11,6,10,27,0
3,3.96,80,3,7,8,18,1
4,3.11,95,3,10,10,23,0
1,3.29,86,2,11,9,22,0
4,3.94,70,9,2,8,19,1
2,2.44,63,7,14,10,31,0
1,3.5,74,7,11,2,20,0
2,2.59,76,11,4,4,19,0
4,3.67,89,11,13,4,28,0
4,1.95,72,10,10,2,22,0
2,3.87,80,6,15,8,29,0
3,2.05,96,5,2,3,10,1
2,2.32,78,12,2,2,16,1
4,3.39,96,7,2,7,16,1
2,2.48,79,9,8,1,18,1
3,3.02,75,15,14,6,35,0
2,2.61,69,2,6,3,11,1
3,3.36,87,8,7,3,18,0
3,2.07,68,9,14,5,28,0
2,1.65,76,10,15,3,28,0
2,2.25,74,12,9,4,25,0
1,2.69,89,9,15,3,27,0
4,1.92,87,8,14,7,29,0
3,2.39,72,4,3,3,10,1
1,2.5,78,3,14,10,27,0
2,1.64,64,4,3,4,11,1
4,2.96,52,5,4,2,11,1
1,3.71,59,5,14,2,21,0
3,1.88,64,7,4,9,20,0
1,2.99,65,13,14,1,28,0
3,3.16,66,8,4,1,13,1
2,2.55,68,13,5,10,28,0
4,3.25,60,5,4,1,10,1
4,2.53,97,11,3,3,17,1
4,2.76,54,7,10,2,19,0
2,1.52,54,10,7,3,20,0
3,3.23,63,15,4,5,24,0
2,3.15,99,7,10,9,26,0
4,1.6,75,15,5,2,22,0
2,2.42,57,4,5,1,10,1
2,3.95,54,2,9,6,17,1
2,2.55,56,12,8,3,23,0
3,2.75,65,11,8,7,26,0
1,3.77,63,11,11,6,28,0
1,3.29,86,14,8,7,29,0
2,2.96,90,6,11,5,22,0
1,3.49,53,11,12,1,24,0
1,3.66,85,11,6,3,20,0
2,2.64,97,4,8,3,15,1
2,2.69,66,9,5,7,21,0
4,2.47,96,11,9,3,23,0
1,3.92,85,2,10,5,17,1
3,3.24,55,12,14,4,30,0
2,1.71,65,3,13,4,20,0
4,3.66,78,4,4,7,15,1
3,2.7,85,4,8,1,13,1
1,1.67,87,13,13,7,33,0
4,2.87,86,9,11,8,28,0
2,2.54,97,6,10,3,19,0
3,3.69,97,9,2,3,14,1
2,2.01,59,12,3,4,19,0
1,3.57,90,15,8,6,29,0
3,2.89,85,12,14,7,33,0
1,1.64,78,7,3,1,11,1
1,3.93,63,13,8,4,25,0
4,2.78,53,3,2,7,12,1
2,2.23,93,12,4,2,18,1
3,2.67,91,5,6,1,12,1
1,3.64,85,10,15,1,26,0
1,2.26,99,5,13,10,28,0
3,1.98,94,6,15,6,27,0
1,1.82,62,6,12,5,23,0
4,2.24,95,11,7,1,19,0
4,3.45,67,9,14,10,33,0
4,2.68,82,7,10,3,20,0
4,2.07,70,11,10,7,28,0
1,1.92,65,8,4,9,21,0
3,2.33,64,7,15,9,31,0
3,3.85,54,15,9,6,30,0
3,2.36,55,15,14,3,32,0
3,3.97,87,15,5,1,21,0
2,2.71,52,6,8,3,17,1
3,1.95,97,6,7,10,23,0
2,3.73,61,4,9,2,15,1
2,2.65,85,8,7,5,20,0
4,3.27,82,14,5,8,27,0
2,3.96,85,11,3,5,19,0
1,1.63,82,6,8,1,15,1
2,1.74,80,8,12,3,23,0
4,3.3,70,3,14,5,22,0
2,2.2,76,10,12,7,29,0
1,1.96,76,9,5,5,19,0
1,1.6,57,6,14,10,30,0
1,1.55,86,3,10,5,18,1
4,3.44,81,7,10,7,24,0
4,1.84,75,9,8,8,25,0
3,2.67,51,8,6,8,22,0
4,3.01,61,9,4,7,20,0
1,2.57,71,5,4,3,12,1
1,1.57,66,15,10,2,27,0
4,3.46,56,4,10,1,15,1
2,1.53,92,8,13,6,27,0
4,3.4,53,3,14,9,26,0
4,3.73,86,15,12,3,30,0
1,2.58,87,6,5,5,16,0
3,2.84,81,14,12,9,35,0
1,2.69,60,8,2,9,19,0
3,2.47,50,2,14,7,23,0
1,3.72,74,5,11,4,20,0
4,3.73,91,3,6,2,11,1
1,2.34,73,7,15,2,24,0
1,3.04,92,13,9,4,26,0
1,3.82,66,2,11,1,14,1
4,3.91,57,8,5,4,17,1
4,2.77,94,4,11,6,21,1
4,2.63,76,13,11,6,30,0
4,2.2,67,2,5,7,14,1
3,3.9,76,9,14,5,28,0
3,1.86,71,8,13,9,30,0
2,2.95,65,3,15,2,20,0
4,2.21,51,8,10,2,20,0
3,2.2,54,4,10,4,18,1
1,2.51,67,14,8,4,26,0
4,4.0,52,10,11,4,25,0
2,1.64,76,9,9,1,19,0
2,2.95,66,6,13,4,23,0
2,1.71,65,8,13,5,26,0
1,1.89,55,4,5,9,18,0
3,2.6,56,2,9,3,14,1
1,2.78,99,2,15,3,20,0
4,2.15,63,12,7,5,24,0
2,2.29,87,3,14,10,27,0
1,1.72,89,9,4,6,19,1
1,2.26,64,2,8,3,13,1
3,3.92,96,12,4,1,17,1
3,3.86,96,13,12,10,35,0
2,2.34,97,6,8,8,22,0
1,2.93,82,10,6,1,17,0
1,3.77,92,13,5,2,20,0
3,1.52,76,10,4,3,17,1
1,3.53,78,3,9,6,18,0
1,3.87,86,8,5,4,17,0
1,1.73,54,12,9,4,25,0
3,1.9,78,2,11,9,22,0
2,3.9,81,4,4,6,14,1
4,2.84,55,7,11,2,20,0
2,1.54,51,10,14,7,31,0
4,2.14,55,11,10,3,24,0
1,2.62,95,3,7,9,19,0
2,3.23,92,8,6,6,20,0
4,3.33,53,5,6,8,19,0
3,3.99,78,3,14,1,18,1
3,2.22,74,4,4,2,10,1
2,2.85,58,7,3,6,16,1
2,2.83,52,11,7,3,21,0
1,2.51,75,10,12,1,23,0
2,1.92,97,9,2,6,17,0
1,3.94,92,11,15,5,31,0
1,3.63,76,15,8,9,32,0
3,2.75,85,12,6,6,24,0
3,3.01,81,10,5,5,20,0
4,2.07,50,5,10,1,16,0
3,2.86,65,13,11,1,25,0
3,3.24,97,5,2,1,8,1
2,2.79,60,10,12,7,29,0
3,3.98,75,9,5,6,20,0
4,3.03,89,13,4,5,22,0
2,2.43,50,3,7,4,14,1
4,3.43,75,9,6,8,23,0
3,1.93,77,2,8,8,18,0
4,2.46,58,10,14,5,29,0
2,2.37,93,10,2,4,16,0
1,2.58,71,14,14,2,30,0
4,3.45,57,9,6,7,22,0
4,2.71,98,12,15,5,32,0
2,3.49,91,6,3,3,12,1
2,2.94,76,6,3,9,18,0
4,2.36,88,14,12,9,35,0
3,3.52,68,4,12,10,26,0
4,2.1,74,6,3,8,17,0
2,2.06,87,5,10,1,16,0
1,2.76,70,2,11,3,16,1
1,2.15,73,10,4,2,16,1
3,1.52,73,11,5,4,20,0
4,3.12,68,15,6,2,23,0
1,2.78,99,5,15,8,28,0
4,2.61,96,4,5,1,10,1
2,3.92,51,7,5,4,16,1
1,2.93,63,2,6,5,13,1
3,3.66,81,6,11,10,27,0
2,1.85,91,8,10,4,22,0
3,2.92,81,3,13,8,24,0
2,3.67,77,11,10,2,23,0
1,2.96,97,10,15,9,34,0
3,3.3,88,13,15,2,30,0
3,2.43,89,7,7,2,16,1
2,1.73,91,3,12,2,17,0
3,2.64,96,9,13,10,32,0
2,2.49,89,9,15,8,32,0
2,3.67,62,2,4,3,9,1
2,2.11,61,13,7,10,30,0
2,3.92,57,2,11,10,23,0
1,3.9,64,2,5,8,15,1
2,2.12,75,13,4,7,24,0
4,2.37,61,5,7,10,22,0
3,3.74,92,5,12,4,21,0
4,3.92,95,9,7,7,23,0
1,2.61,76,2,3,8,13,1
4,2.3,67,11,10,6,27,0
3,2.82,94,4,9,6,19,0
4,3.22,85,12,7,3,22,0
1,2.18,98,2,2,5,9,1
2,3.34,76,10,13,10,33,0
4,1.63,58,11,3,2,16,1
1,1.62,88,13,5,5,23,0
1,2.47,50,10,8,5,23,0
3,2.38,56,8,10,7,25,0
3,2.29,75,14,11,4,29,0
4,2.73,56,13,6,6,25,0
2,2.3,56,9,11,9,29,0
1,1.98,57,2,3,4,9,1
4,2.27,65,6,14,6,26,0
1,3.94,52,15,12,9,36,0
1,2.53,94,3,12,10,25,0
2,2.61,59,14,12,1,27,0
2,2.94,99,2,2,8,12,1
4,3.96,56,4,11,1,16,1
2,2.1,70,8,15,4,27,0
2,3.2,86,2,14,3,19,0
4,3.29,80,12,15,4,31,0
2,3.02,72,3,2,7,12,1
3,1.72,76,3,6,9,18,1
1,3.19,71,5,15,9,29,0
1,1.66,88,13,8,10,31,0
1,2.99,76,4,10,1,15,1
1,3.35,98,4,10,10,24,0
4,2.03,53,11,9,1,21,0
1,3.6,73,6,2,9,17,1
1,1.58,72,4,6,4,14,1
1,3.61,97,12,7,3,22,0
1,2.65,68,8,7,9,24,0
3,2.04,91,6,5,5,16,1
1,1.83,52,5,2,6,13,1
3,3.88,76,13,4,1,18,1
4,1.68,52,4,11,1,16,1
2,2.0,77,13,5,7,25,0
1,2.37,66,5,5,10,20,0
2,3.05,80,15,14,8,37,0
2,2.86,59,13,5,8,26,0
4,1.81,98,3,15,7,25,0
2,2.22,71,2,6,9,17,1
3,2.1,79,4,14,1,19,0
2,2.03,98,12,12,2,26,0
2,2.53,70,3,10,3,16,0
2,3.26,85,2,5,5,12,1
1,2.04,72,2,10,4,16,1
1,2.42,87,3,10,4,17,1
3,2.48,61,14,2,8,24,0
3,3.94,74,14,6,8,28,0
1,3.89,69,10,10,7,27,0
3,3.5,98,14,5,1,20,0
1,2.1,98,14,6,10,30,0
4,1.67,91,6,5,4,15,1
2,2.29,56,10,14,1,25,0
2,2.17,78,9,3,5,17,1
3,2.76,97,14,11,3,28,0
1,3.44,78,12,3,3,18,0
1,3.65,62,7,3,4,14,0
3,3.61,52,2,14,2,18,0
1,2.4,51,11,2,7,20,0
4,3.22,65,6,4,4,14,1
2,2.28,79,13,15,5,33,0
3,1.65,87,2,12,2,16,1
3,3.25,55,8,11,6,25,0
1,1.52,94,11,2,9,22,0
3,2.52,56,15,5,8,28,0
4,2.32,54,12,2,8,22,0
1,3.23,56,9,5,2,16,1
1,3.42,83,9,4,4,17,0
1,2.26,81,8,10,8,26,0
1,3.53,98,3,2,1,6,1
4,2.23,62,6,15,8,29,0
1,2.62,79,5,9,3,17,1
3,3.32,74,6,12,8,26,0
4,3.23,70,11,10,6,27,0
2,3.97,70,10,13,7,30,0
2,2.06,77,5,8,2,15,1
3,3.16,97,13,2,1,16,0
3,3.02,69,9,5,6,20,1
4,3.79,83,9,11,3,23,0
2,1.89,54,3,2,4,9,1
2,3.38,67,15,5,9,29,0
2,2.92,88,7,4,3,14,1
2,2.19,92,6,3,2,11,1
2,2.69,60,3,2,2,7,1
1,2.33,66,13,7,2,22,0
3,2.95,97,11,13,6,30,0
1,3.72,94,5,8,2,15,1
2,2.92,71,8,7,7,22,0
4,3.08,86,14,10,7,31,0
4,2.8,69,2,13,7,22,0
2,1.63,97,10,10,2,22,0
2,2.08,97,11,3,7,21,0
4,2.73,97,13,3,10,26,0
1,2.28,95,2,10,8,20,0
1,1.95,55,13,2,8,23,0
2,2.76,83,6,6,2,14,1
1,2.31,63,8,2,5,15,1
4,2.15,97,9,8,6,23,0
1,2.66,72,3,10,9,22,0
2,1.83,69,5,7,6,18,0
4,3.82,62,3,15,10,28,0
1,3.67,96,5,3,6,14,1
3,3.27,93,7,7,10,24,0
4,1.77,90,7,10,10,27,0
4,3.44,81,13,4,6,23,0
3,3.52,75,14,10,9,33,0
3,3.42,99,3,9,10,22,0
4,1.78,63,12,14,7,33,0
3,3.11,85,5,13,1,19,0
2,3.59,57,5,8,1,14,1
2,2.94,89,15,9,4,28,0
2,3.12,71,2,11,2,15,0
4,2.65,71,15,7,3,25,0
3,2.82,65,3,4,7,14,1
3,1.59,76,15,8,7,30,0
1,3.1,59,4,5,3,12,1
1,1.7,74,14,12,2,28,0
3,2.59,80,12,11,1,24,0
3,2.23,70,6,15,9,30,0
3,2.86,76,12,6,10,28,0
4,1.83,66,9,9,3,21,0
3,3.23,82,7,8,9,24,0
1,3.49,80,4,8,4,16,1
4,1.91,99,7,9,10,26,0
3,1.76,91,8,11,6,25,0
1,1.86,75,7,4,7,18,1
4,3.69,70,11,4,10,25,0
3,2.82,85,7,3,6,16,1
3,2.67,50,2,2,1,5,1
3,1.77,53,4,11,6,21,0
4,3.12,53,8,7,6,21,0
1,3.67,75,5,7,5,17,0
1,3.57,53,13,14,3,30,0
2,3.07,98,5,11,10,26,0
3,1.69,58,8,13,3,24,0
2,1.78,79,10,9,10,29,0
2,1.62,94,15,15,7,37,0
1,2.14,53,12,7,8,27,0
4,1.84,54,14,7,3,24,0
4,2.15,94,14,2,3,19,0
1,2.46,72,3,13,7,23,0
4,3.86,65,10,8,10,28,0
2,3.03,71,4,8,7,19,0
3,3.59,86,7,11,9,27,0
1,3.28,57,5,10,6,21,0
3,1.78,97,2,15,7,24,0
4,3.34,82,10,13,10,33,0
3,2.19,87,12,8,1,21,0
4,3.1,92,7,9,7,23,0
4,2.35,65,9,5,2,16,0
2,3.99,54,3,10,7,20,0
4,2.16,65,8,15,3,26,0
2,2.2,56,7,2,9,18,1
2,3.83,50,3,9,5,17,0
2,1.56,58,3,4,7,14,1
1,3.24,67,5,15,8,28,0
1,3.31,94,5,2,2,9,1
4,3.59,96,4,3,1,8,1
2,3.94,52,9,7,7,23,0
1,3.94,73,15,6,6,27,0
2,1.66,77,8,15,6,29,0
3,3.55,59,3,4,2,9,1
3,3.12,58,4,10,3,17,1
3,3.12,62,11,9,4,24,0
4,1.82,97,10,14,3,27,0
2,3.13,84,14,4,2,20,0
3,3.96,72,6,3,3,12,1
1,3.78,96,3,9,6,18,1
3,2.6,66,4,15,9,28,0
3,1.6,95,9,6,4,19,1
3,2.41,56,5,10,6,21,0
4,3.57,65,15,2,1,18,0
1,3.25,89,3,11,6,20,0
2,2.65,85,3,4,3,10,1
1,1.64,69,7,6,9,22,0
2,2.57,73,9,3,4,16,1
4,2.67,96,8,4,7,19,0
4,3.82,54,5,5,4,14,1
